-35,1,61
-32,0,64
-30,-2,53
-34,0,55
-33,-1,58
-28,1,59
-28,1,57
-26,4,56
-24,3,56
-18,-1,55
-19,-5,56
-14,-6,59
-11,-7,60
-15,-5,58
-12,-6,62
-22,-4,63
-16,-3,65
-12,3,70
-10,-2,78
-24,2,61
-24,0,60
-23,2,60
-20,0,59
-16,2,61
-22,4,62
-29,5,59
-33,4,55
-29,3,57
-23,2,61
-28,3,58
-29,3,58
-24,3,59
-29,3,58
-25,3,60
-28,3,57
-29,3,56
-27,3,59
-28,3,58
-26,4,60
-29,3,58
-24,3,59
-27,3,59
-27,2,57
-25,3,60
-24,2,59
-24,2,59
-26,1,58
-26,3,60
-24,3,60
-22,2,59
-24,2,60
